Building Name,#,City,Column1,Completed,Floors,Height (ft),Height (m),Material,Use
"Jiangxi Nanchang Greenland Central Plaza, Par…",194,Nanchang (CN),"",4030,118,1988,606,composite,office
Wells Fargo Plaza,100,Houston (US),"",1983,71,992,302.4,steel,office
Leatop Plaza,99,Guangzhou (CN),"",2012,64,993,302.7,composite,office
Greenland Puli Center,96,Jinan (CN),"",2014,61,994,303,composite,office
Diwang International Fortune Center,95,Liuzhou (CN),"",2015,72,994,303,composite,office / hotel
Two Prudential Plaza,94,Chicago (US),"",1990,64,995,303.3,concrete,office
Shenzhen CFC Changfu Centre,92,Shenzhen (CN),"",2016,68,997,303.8,composite,office
Wuxi Maoye City - Marriott Hotel,92,Wuxi (CN),"",2014,68,997,303.8,composite,hotel
Baiyoke Tower II,91,Bangkok (TH),"",1997,85,997,304,concrete,hotel
Northeast Asia Trade Tower,90,Incheon (KR),"",2011,68,1001,305,composite,residential / hotel / office
Etihad Towers T2,89,Abu Dhabi (AE),"",2011,80,1002,305.3,concrete,residential
JPMorgan Chase Tower,88,Houston (US),"",1982,75,1002,305.4,composite,office
The Shard,87,London (GB),"",2013,73,1004,306,composite,residential / hotel / office
East Pacific Center Tower A,86,Shenzhen (CN),"",2013,85,1004,306,composite,residential
One57,85,New York City (US),"",2014,75,1004,306.1,steel/concrete,residential / hotel
Cayan Tower,84,Dubai (AE),"",2013,73,1005,306.4,concrete,residential
The Franklin - North Tower,83,Chicago (US),"",1989,60,1007,306.9,composite,office
Wanda Plaza 1,81,Kunming (CN),"",2016,67,1008,307.3,composite,office
Wanda Plaza 2,81,Kunming (CN),"",2016,67,1008,307.3,composite,office
Burj Rafal,80,Riyadh (SA),"",2014,68,1010,307.9,concrete,residential / hotel
Stalnaya Vershina,79,Moscow (RU),"",2015,72,1013,308.9,composite,residential / hotel / office
Emirates Tower Two,78,Dubai (AE),"",2000,56,1014,309,composite,hotel
Fortune Center,77,Guangzhou (CN),"",2015,68,1015,309.4,composite,office
Pearl River Tower,76,Guangzhou (CN),"",2013,71,1015,309.4,composite,office
Menara TM,75,Kuala Lumpur (MY),"",2001,55,1017,310,concrete,office
Ocean Heights,74,Dubai (AE),"",2010,83,1017,310,concrete,residential
U.S. Bank Tower,73,Los Angeles (US),"",1990,73,1018,310.3,steel,office
Moi Center Tower A,72,Shenyang (CN),"",2014,75,1020,311,composite,hotel / office
Bank of America Plaza,71,Atlanta (US),"",1992,55,1023,311.8,composite,office
MahaNakhon,70,Bangkok (TH),"",2016,75,1031,314.2,concrete,residential / hotel
Nanjing International Youth Cultural Centre T…,69,Nanjing (CN),"",2015,68,1032,314.5,composite,hotel / office
HHHR Tower,68,Dubai (AE),"",2010,72,1042,317.6,concrete,residential
New York Times Tower,67,New York City (US),"",2007,52,1046,318.8,steel,office
Global City Square,66,Guangzhou (CN),"",2016,67,1046,318.9,composite,office
Chrysler Building,65,New York City (US),"",1930,77,1046,318.9,steel,office
Nina Tower,64,Hong Kong (CN),"",2006,80,1051,320.4,concrete,hotel / office
Burj Al Arab,63,Dubai (AE),"",1999,56,1053,321,composite,hotel
Wenzhou Trade Center,62,Wenzhou (CN),"",2011,68,1056,321.9,concrete,hotel / office
Q1 Tower,61,Gold Coast (AU),"",2005,78,1058,322.5,concrete,residential
Yantai Shimao No. 1 The Harbour,60,Yantai (CN),"",2016,59,1060,323,composite,residential / hotel / office
Deji Plaza,59,Nanjing (CN),"",2013,62,1063,324,composite,hotel / office
The Landmark,58,Abu Dhabi (AE),"",2013,72,1063,324,concrete,residential / office
The Index,57,Dubai (AE),"",2010,80,1070,326,concrete,residential / office
Wuxi Suning Plaza 1,56,Wuxi (CN),"",2014,67,1076,328,composite,hotel / serviced apartments / office
Al Yaqoub Tower,55,Dubai (AE),"",2013,69,1076,328,concrete,hotel / office
Longxi International Hotel,54,Jiangyin (CN),"",2011,72,1076,328,composite,residential / hotel
Keangnam Hanoi Landmark Tower,53,Hanoi (VN),"",2012,72,1078,328.6,concrete,hotel / residential / office
China World Tower,52,Beijing (CN),"",2010,74,1083,330,composite,hotel / office
Minsheng Bank Building,51,Wuhan (CN),"",2008,68,1086,331,steel,office
Rose Rayhaan by Rotana,50,Dubai (AE),"",2007,71,1093,333,composite,hotel
Shimao International Plaza,49,Shanghai (CN),"",2006,60,1094,333.3,concrete,hotel / office / retail
Tianjin World Financial Center,48,Tianjin (CN),"",2011,75,1105,336.9,composite,office
Tianjin Modern City Office Tower,47,Tianjin (CN),"",2016,65,1109,338,composite,office
Mercury City Tower,46,Moscow (RU),"",2013,75,1112,338.8,concrete,residential / office
Chongqing World Financial Center,45,Chongqing (CN),"",2015,72,1112,338.9,composite,hotel / office
Wuxi International Finance Square,44,Wuxi (CN),"",2014,68,1112,339,composite,hotel / office
ADNOC Headquarters,43,Abu Dhabi (AE),"",2015,65,1122,342,concrete,office
John Hancock Center,42,Chicago (US),"",1969,100,1128,343.7,steel,residential / office
The Center,41,Hong Kong (CN),"",1998,73,1135,346,steel,office
Aon Center,40,Chicago (US),"",1973,83,1136,346.3,steel,office
T & C Tower,39,Kaohsiung (TW),"",1997,85,1140,347.5,composite,hotel / office / retail
The Pinnacle,38,Guangzhou (CN),"",2012,60,1149,350.3,concrete,office
Forum 66 Tower 1,37,Shenyang (CN),"",2015,68,1150,350.6,composite,hotel / office
The Torch,36,Dubai (AE),"",2011,86,1155,352,concrete,residential
OKO - Residential Tower,35,Moscow (RU),"",2015,90,1160,353.6,concrete,residential / serviced apartments / hotel
Emirates Tower One,34,Dubai (AE),"",2000,54,1163,354.6,composite,office
JW Marriott Marquis Hotel Dubai Tower 1,32,Dubai (AE),"",2012,82,1166,355.4,concrete,hotel
JW Marriott Marquis Hotel Dubai Tower 2,32,Dubai (AE),"",2013,82,1166,355.4,concrete,hotel
Almas Tower,31,Dubai (AE),"",2008,68,1181,360,concrete,office
Bank of America Tower,30,New York City (US),"",2009,55,1200,365.8,composite,office
Bank of China Tower,29,Hong Kong (CN),"",1990,72,1205,367.4,composite,office
Central Plaza,28,Hong Kong (CN),"",1992,78,1227,373.9,concrete,office
Elite Residence,27,Dubai (AE),"",2012,87,1248,380.5,concrete,residential
Empire State Building,26,New York City (US),"",1931,102,1250,381,steel,office
Burj Mohammed Bin Rashid,25,Abu Dhabi (AE),"",2014,88,1251,381.2,concrete,residential
Eton Place Dalian Tower 1,24,Dalian (CN),"",2016,80,1257,383.1,composite,hotel / office
Shun Hing Square,23,Shenzhen (CN),"",1996,69,1260,384,composite,office
CITIC Plaza,22,Guangzhou (CN),"",1996,80,1280,390.2,concrete,office
23 Marina,21,Dubai (AE),"",2012,88,1287,392.4,concrete,residential
Two International Finance Centre,20,Hong Kong (CN),"",2003,88,1352,412,composite,office
Al Hamra Tower,19,Kuwait City (KW),"",2011,80,1354,412.6,concrete,office
Princess Tower,18,Dubai (AE),"",2012,101,1356,413.4,steel/concrete,residential
Jin Mao Tower,17,Shanghai (CN),"",1999,88,1380,420.5,composite,hotel / office
Trump International Hotel & Tower,16,Chicago (US),"",2009,98,1389,423.2,concrete,residential / hotel
432 Park Avenue,15,New York City (US),"",2015,85,1396,425.5,concrete,residential
Guangzhou International Finance Center,14,Guangzhou (CN),"",2010,103,1439,438.6,composite,hotel / office
KK100,13,Shenzhen (CN),"",2011,100,1449,441.8,composite,hotel / office
Willis Tower,12,Chicago (US),"",1974,108,1451,442.1,steel,office
Zifeng Tower,11,Nanjing (CN),"",2010,66,1476,450,composite,hotel / office
Petronas Twin Tower 1,9,Kuala Lumpur (MY),"",1998,88,1483,451.9,composite,office
Petronas Twin Tower 2,9,Kuala Lumpur (MY),"",1998,88,1483,451.9,composite,office
International Commerce Centre,8,Hong Kong (CN),"",2010,108,1588,484,composite,hotel / office
Shanghai World Financial Center,7,Shanghai (CN),"",2008,101,1614,492,composite,hotel / office
TAIPEI 101,6,Taipei (TW),"",2004,101,1667,508,composite,office
Guangzhou CTF Finance Centre,5,Guangzhou (CN),"",2016,111,1739,530,composite,hotel / residential / office
One World Trade Center,4,New York City (US),"",2014,94,1776,541.3,composite,office
Makkah Royal Clock Tower,3,Mecca (SA),"",2012,120,1972,601,steel/concrete,other / hotel
Shanghai Tower,2,Shanghai (CN),"",2015,128,2073,632,composite,hotel / office
Burj Khalifa,1,Dubai (AE),"",2010,163,2717,828,steel/concrete,office / residential / hotel
